tfm	pack	assembly	file	kind	forwardsTo	version	publicTypes
net10.0	aspnetcore.app	Microsoft.AspNetCore.RateLimiting	Microsoft.AspNetCore.RateLimiting.dll	impl		10.0.0.0	9
net10.0	aspnetcore.app	Microsoft.AspNetCore.Razor	Microsoft.AspNetCore.Razor.dll	impl		10.0.0.0	20
net10.0	aspnetcore.app	Microsoft.AspNetCore.Razor.Runtime	Microsoft.AspNetCore.Razor.Runtime.dll	impl		10.0.0.0	13
net10.0	aspnetcore.app	Microsoft.AspNetCore.RequestDecompression	Microsoft.AspNetCore.RequestDecompression.dll	impl		10.0.0.0	5
net10.0	aspnetcore.app	Microsoft.AspNetCore.ResponseCaching	Microsoft.AspNetCore.ResponseCaching.dll	impl		10.0.0.0	5
net10.0	aspnetcore.app	Microsoft.AspNetCore.ResponseCaching.Abstractions	Microsoft.AspNetCore.ResponseCaching.Abstractions.dll	impl		10.0.0.0	1
net10.0	aspnetcore.app	Microsoft.AspNetCore.ResponseCompression	Microsoft.AspNetCore.ResponseCompression.dll	impl		10.0.0.0	13
net10.0	aspnetcore.app	Microsoft.AspNetCore.Rewrite	Microsoft.AspNetCore.Rewrite.dll	impl		10.0.0.0	9
net10.0	aspnetcore.app	Microsoft.AspNetCore.Routing	Microsoft.AspNetCore.Routing.dll	impl		10.0.0.0	140
net10.0	aspnetcore.app	Microsoft.AspNetCore.Routing.Abstractions	Microsoft.AspNetCore.Routing.Abstractions.dll	impl		10.0.0.0	14
net10.0	aspnetcore.app	Microsoft.AspNetCore.Server.HttpSys	Microsoft.AspNetCore.Server.HttpSys.dll	impl		10.0.0.0	19
net10.0	aspnetcore.app	Microsoft.AspNetCore.Server.IIS	Microsoft.AspNetCore.Server.IIS.dll	impl		10.0.0.0	6
net10.0	aspnetcore.app	Microsoft.AspNetCore.Server.IISIntegration	Microsoft.AspNetCore.Server.IISIntegration.dll	impl		10.0.0.0	5
net10.0	aspnetcore.app	Microsoft.AspNetCore.Server.Kestrel	Microsoft.AspNetCore.Server.Kestrel.dll	impl		10.0.0.0	1
net10.0	aspnetcore.app	Microsoft.AspNetCore.Server.Kestrel.Core	Microsoft.AspNetCore.Server.Kestrel.Core.dll	impl		10.0.0.0	34
net10.0	aspnetcore.app	Microsoft.AspNetCore.Server.Kestrel.Transport.NamedPipes	Microsoft.AspNetCore.Server.Kestrel.Transport.NamedPipes.dll	impl		10.0.0.0	3
net10.0	aspnetcore.app	Microsoft.AspNetCore.Server.Kestrel.Transport.Quic	Microsoft.AspNetCore.Server.Kestrel.Transport.Quic.dll	impl		10.0.0.0	2
net10.0	aspnetcore.app	Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets	Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets.dll	impl		10.0.0.0	5
net10.0	aspnetcore.app	Microsoft.AspNetCore.Session	Microsoft.AspNetCore.Session.dll	impl		10.0.0.0	9
net10.0	aspnetcore.app	Microsoft.AspNetCore.SignalR	Microsoft.AspNetCore.SignalR.dll	impl		10.0.0.0	5
net10.0	aspnetcore.app	Microsoft.AspNetCore.SignalR.Common	Microsoft.AspNetCore.SignalR.Common.dll	impl		10.0.0.0	24
net10.0	aspnetcore.app	Microsoft.AspNetCore.SignalR.Core	Microsoft.AspNetCore.SignalR.Core.dll	impl		10.0.0.0	42
